Date,Symbol,Open,High,Low,Last,ChangePercent,Volumn,Money,Net5D,Net13D,Net34D,SMA5,SMA12,SMA26,MACD,MACD5,Vol5,RSI,RSI5,Money5,Status
1/5/2015,BLA,46.0,47.25,44.5,44.5,-3.26,2527292,114921000,844558000,2129243000.0,4009361000.0,44.5,,,,,2527292.0,,,114921000.0,0.0
1/6/2015,BLA,44.25,45.25,44.0,45.0,1.12,2060142,92266000,807553000,1991162000.0,3868702000.0,44.75,,,,,2293717.0,,,103593500.0,0.0
1/7/2015,BLA,45.0,45.5,45.0,45.25,0.56,1303523,58961000,745843000,1813763000.0,3853920000.0,44.91666666666666,,,,,1963652.333333333,,,88716000.0,0.0
1/8/2015,BLA,45.5,46.25,45.5,46.25,2.21,3247806,149476000,827686000,1842241000.0,3902596000.0,45.25,,,,,2284690.75,,,103906000.0,0.0
1/9/2015,BLA,46.5,46.5,45.5,46.5,0.54,1846664,85296000,500920000,1796472000.0,3865134000.0,45.5,,,,,2197085.4,,,100184000.0,0.0
1/12/2015,BLA,46.25,46.75,45.25,45.25,-2.69,1703523,78176000,464175000,1680652000.0,3829894000.0,45.65,,,,,2032331.6,,,92835000.0,0.0
1/13/2015,BLA,45.25,45.75,45.0,45.25,0.0,1046431,47485000,419394000,1601147000.0,3835006000.0,45.7,,,,,1829589.4,,,83878800.0,0.0
1/14/2015,BLA,45.5,46.0,45.5,45.5,0.55,1386710,63409000,423842000,1512329000.0,3862519000.0,45.75,,,,,1846226.8,,,84768400.0,0.0
1/15/2015,BLA,45.75,45.75,45.0,45.5,0.0,674827,30641000,305007000,1450268000.0,3820578000.0,45.6,,,,,1331631.0,,,61001400.0,0.0
1/16/2015,BLA,45.5,45.75,45.0,45.0,-1.1,1232639,55754000,275465000,1376751000.0,3784712000.0,45.3,,,,,1208826.0,,,55093000.0,0.0
1/19/2015,BLA,45.25,46.25,44.5,44.5,-1.11,2665950,121294000,318583000,1377374000.0,3857202000.0,45.15,,,,,1401311.4,,,63716600.0,0.0
1/20/2015,BLA,44.75,45.5,44.75,45.0,1.12,1129412,51020000,322118000,1360761000.0,3809292000.0,45.1,45.29166666666666,,,,1417907.6,,,64423600.0,0.0
1/21/2015,BLA,45.5,47.5,45.25,47.25,5.0,7679199,359310000,618019000,1308009000.0,4028987000.0,45.45,45.52083333333334,,,,2676405.4,,,123603800.0,0.0
1/22/2015,BLA,47.75,48.0,46.75,47.25,0.0,3643430,172737000,760115000,1365825000.0,4140368000.0,45.8,45.70833333333334,,,,3270126.0,50.0,50.0,152023000.0,0.0
1/23/2015,BLA,47.25,47.5,46.5,46.75,-1.06,2652119,124415000,828776000,1397974000.0,4179616000.0,46.15,45.83333333333334,,,,3554022.0,50.0,50.0,165755200.0,0.0
1/26/2015,BLA,46.75,48.5,46.5,48.0,2.67,3585407,170429000,877911000,1509442000.0,4290467000.0,46.85,45.97916666666666,,,,3737913.4,50.0,50.0,175582200.0,0.0
1/27/2015,BLA,49.0,50.75,49.0,50.5,5.21,4191549,209573000,1036464000,1569539000.0,4462263000.0,47.95,46.3125,,,,4350340.8,50.0,50.0,207292800.0,0.0
1/28/2015,BLA,50.5,52.5,49.75,51.75,2.48,4065808,209352000,886506000,1693595000.0,4602652000.0,48.85,46.85416666666666,,,,3627662.6,50.0,50.0,177301200.0,0.0
1/29/2015,BLA,51.75,52.5,50.75,51.25,-0.97,1299732,66839000,780608000,1682258000.0,4598221000.0,49.65,47.35416666666666,,,,3158923.0,42.857142857142854,48.57142857142857,156121600.0,0.0
1/30/2015,BLA,52.0,52.0,51.0,52.0,1.46,1638669,84457000,740650000,1719230000.0,4618177000.0,50.7,47.89583333333334,,,,2956233.0,50.0,48.57142857142857,148130000.0,0.0
2/2/2015,BLA,51.5,51.5,50.75,51.0,-1.92,808102,41270000,611491000,1697091000.0,4521275000.0,51.3,48.35416666666666,,,,2400772.0,50.0,48.57142857142857,122298200.0,0.0
2/3/2015,BLA,51.5,51.75,50.75,50.75,-0.49,917062,46848000,448766000,1713298000.0,4448251000.0,51.35,48.83333333333334,,,,1745874.6,42.857142857142854,47.14285714285714,89753200.0,0.0
2/4/2015,BLA,51.0,51.75,50.5,51.75,1.97,1610291,82451000,321865000,1739995000.0,4300355000.0,51.35,49.4375,,,,1254771.2,50.0,47.14285714285714,64373000.0,0.0
2/5/2015,BLA,51.75,51.75,50.75,51.0,-1.45,837049,42814000,297840000,1661515000.0,4106809000.0,51.3,49.9375,,,,1162234.6,50.0,48.57142857142857,59568000.0,0.0
2/6/2015,BLA,51.25,51.5,50.75,51.25,0.49,781664,39951000,253334000,1650446000.0,4025762000.0,51.15,50.27083333333334,,,,990833.6,57.14285714285714,50.0,50666800.0,0.0
